Project MM22,Approval & Project milestones,A30,
Project MM22 Original Baseline,Approval & Project milestones,B30,
Project MM22 Latest Approved Baseline,Approval & Project milestones,C30,
Project MM22 Forecast - Actual,Approval & Project milestones,D30,
Project MM22 Type,Approval & Project milestones,E30,
Project MM22 Notes,Approval & Project milestones,F30,
Project MM23,Approval & Project milestones,A31,
Project MM23 Original Baseline,Approval & Project milestones,B31,
Project MM23 Latest Approved Baseline,Approval & Project milestones,C31,
Project MM23 Forecast - Actual,Approval & Project milestones,D31,
Project MM23 Type,Approval & Project milestones,E31,Milestone Types,
Project MM23 Notes,Approval & Project milestones,F31,
Project MM24,Approval & Project milestones,A32,
Project MM24 Original Baseline,Approval & Project milestones,B32,
Project MM24 Latest Approved Baseline,Approval & Project milestones,C32,
Project MM24 Forecast - Actual,Approval & Project milestones,D32,
Project MM24 Type,Approval & Project milestones,E32,Milestone Types,
Project MM24 Notes,Approval & Project milestones,F32,
Project MM25,Approval & Project milestones,A33,
Project MM25 Original Baseline,Approval & Project milestones,B33,
Project MM25 Latest Approved Baseline,Approval & Project milestones,C33,
Project MM25 Forecast - Actual,Approval & Project milestones,D33,
Project MM25 Type,Approval & Project milestones,E33,Milestone Types,
Project MM25 Notes,Approval & Project milestones,F33,
Project MM26,Approval & Project milestones,A34,
Project MM26 Original Baseline,Approval & Project milestones,B34,
Project MM26 Latest Approved Baseline,Approval & Project milestones,C34,
Project MM26 Forecast - Actual,Approval & Project milestones,D34,
Project MM26 Type,Approval & Project milestones,E34,Milestone Types,
Project MM26 Notes,Approval & Project milestones,F34,
Project MM27,Approval & Project milestones,A35,
Project MM27 Original Baseline,Approval & Project milestones,B35,
Project MM27 Latest Approved Baseline,Approval & Project milestones,C35,
Project MM27 Forecast - Actual,Approval & Project milestones,D35,
Project MM27 Type,Approval & Project milestones,E35,Milestone Types,
Project MM27 Notes,Approval & Project milestones,F35,
Project MM28,Approval & Project milestones,A36,
Project MM28 Original Baseline,Approval & Project milestones,B36,
Project MM28 Latest Approved Baseline,Approval & Project milestones,C36,
Project MM28 Forecast - Actual,Approval & Project milestones,D36,
Project MM28 Type,Approval & Project milestones,E36,Milestone Types,
Project MM28 Notes,Approval & Project milestones,F36,
Project MM29,Approval & Project milestones,A37,
Project MM29 Original Baseline,Approval & Project milestones,B37,
Project MM29 Latest Approved Baseline,Approval & Project milestones,C37,
Project MM29 Forecast - Actual,Approval & Project milestones,D37,
Project MM29 Type,Approval & Project milestones,E37,Milestone Types,
Project MM29 Notes,Approval & Project milestones,F37,
Project MM30,Approval & Project milestones,A38,
Project MM30 Original Baseline,Approval & Project milestones,B38,
Project MM30 Latest Approved Baseline,Approval & Project milestones,C38,
Project MM30 Forecast - Actual,Approval & Project milestones,D38,
Project MM30 Type,Approval & Project milestones,E38,Milestone Types,
Project MM30 Notes,Approval & Project milestones,F38,
Project MM31,Approval & Project milestones,A39,
Project MM31 Original Baseline,Approval & Project milestones,B39,
Project MM31 Latest Approved Baseline,Approval & Project milestones,C39,
Project MM31 Forecast - Actual,Approval & Project milestones,D39,
Project MM31 Type,Approval & Project milestones,E39,Milestone Types,
Project MM31 Notes,Approval & Project milestones,F39,
Project MM32,Approval & Project milestones,A40,
Project MM32 Original Baseline,Approval & Project milestones,B40,
Project MM32 Latest Approved Baseline,Approval & Project milestones,C40,
Project MM32 Forecast - Actual,Approval & Project milestones,D40,
Project MM32 Type,Approval & Project milestones,E40,Milestone Types,
Project MM32 Notes,Approval & Project milestones,F40,
Milestone Commentary,Approval & Project milestones,B42,
Project Lifecycle Stage,Approval & Project milestones,B5,
Project Stage if Other,Approval & Project milestones,D5,
Significant Steel Requirement,Finance & Benefits,D15,Yes/No,
SRO Finance confidence,Finance & Benefits,C6,RAG 2,
BICC approval point,Finance & Benefits,E9,Business Cases,
Latest Treasury Approval Point (TAP) or equivalent,Finance & Benefits,E10,Business Cases,
Business Case used to source figures (GMPP TAP used to source figures),Finance & Benefits,C9,Business Cases,
Date of TAP used to source figures,Finance & Benefits,E11,
Name of source in not Business Case (GMPP -If not TAP please specify equivalent document used),Finance & Benefits,C10,
If not TAP please specify date of equivalent document,Finance & Benefits,C11,
Version Number Of Document used to Source Figures (GMPP - TAP version Number),Finance & Benefits,C12,
Date document approved by SRO,Finance & Benefits,C13,
Real or Nominal - Baseline,Finance & Benefits,C18,Finance figures format,
Real or Nominal - Actual/Forecast,Finance & Benefits,E18,Finance figures format,
Index Year,Finance & Benefits,B19,Index Years,
Deflator,Finance & Benefits,B20,Finance type,
Source of Finance,Finance & Benefits,B21,Finance type,
Other Finance type Description,Finance & Benefits,D21,
NPV for all projects and NPV for programmes if available,Finance & Benefits,B22,
Project cost to closure,Finance & Benefits,B23,
RDEL Total budget/BL ,Finance & Benefits,C72,
CDEL Total budget/BL,Finance & Benefits,C125,
Non-Gov Total Budget/BL,Finance & Benefits,C135,
Total Budget/BL,Finance & Benefits,C136,
RDEL Total Forecast,Finance & Benefits,D133,
CDEL Total Forecast,Finance & Benefits,D134,
Non-Gov Total Forecast,Finance & Benefits,D135,
Total Forecast,Finance & Benefits,D136,
RDEL Total Variance,Finance & Benefits,E133,
CDEL Total Variance ,Finance & Benefits,E134,
Non Gov Total Variance ,Finance & Benefits,E135,
Total Variance ,Finance & Benefits,E136,
RDEL Total Budget/BL SR (20/21),Finance & Benefits,H133,
CDEL Total Budget/BL SR (20/21),Finance & Benefits,H134,
Non-Gov Total Budget/BL SR (20/21),Finance & Benefits,H135,
Total Budget SR (20/21),Finance & Benefits,H136,
RDEL Total Forecast SR (20/21),Finance & Benefits,I133,
CDEL Total Forecast SR (20/21),Finance & Benefits,I134,
Non-Gov Total Forecast SR (20/21),Finance & Benefits,I135,
Total Forecast SR (20/21),Finance & Benefits,I136,
Project cost to closure,Finance & Benefits,B23,
Project Costs Narrative RDEL,Finance & Benefits,B77,
Project Costs Narrative CDEL,Finance & Benefits,B130,
Pre 14-15 RDEL BL one off new costs,Finance & Benefits,C27,
Pre 14-15 RDEL BL recurring new costs,Finance & Benefits,D27,
Pre 14-15 RDEL BL recurring old costs,Finance & Benefits,E27,
Pre 14-15 RDEL BL Total ,Finance & Benefits,F27,
Pre 14-15 RDEL Actual one off new costs,Finance & Benefits,C28,
Pre 14-15 RDEL Actual recurring new costs,Finance & Benefits,D28,
Pre 14-15 RDEL Actual recurring old costs,Finance & Benefits,E28,
Pre 14-15 RDEL Actual Total ,Finance & Benefits,F28,
14-15 RDEL BL one off new costs,Finance & Benefits,C29,
14-15 RDEL BL recurring new costs,Finance & Benefits,D29,
14-15 RDEL BL recurring old costs,Finance & Benefits,E29,
14-15 RDEL BL Total ,Finance & Benefits,F29,
14-15 RDEL Actual one off new costs,Finance & Benefits,C30,
14-15 RDEL Actual recurring new costs,Finance & Benefits,D30,
14-15 RDEL Actual recurring old costs,Finance & Benefits,E30,
14-15 RDEL Actual Total ,Finance & Benefits,F30,
15-16 RDEL BL one off new costs,Finance & Benefits,C31,
15-16 RDEL BL recurring new costs,Finance & Benefits,D31,
15-16 RDEL BL recurring old costs,Finance & Benefits,E31,
15-16 RDEL BL Total ,Finance & Benefits,F31,
15-16 RDEL Actual one off new costs,Finance & Benefits,C32,
15-16 RDEL Actual recurring new costs,Finance & Benefits,D32,
15-16 RDEL Actual recurring old costs,Finance & Benefits,E32,
15-16 RDEL Actual Total ,Finance & Benefits,F32,
16-17 RDEL BL one off new costs,Finance & Benefits,C33,
16-17 RDEL BL recurring new costs,Finance & Benefits,D33,
16-17 RDEL BL recurring old costs,Finance & Benefits,E33,
16-17 RDEL BL Total ,Finance & Benefits,F33,
16-17 RDEL Actual one off new costs,Finance & Benefits,C34,
16-17 RDEL Actual recurring new costs,Finance & Benefits,D34,
16-17 RDEL Actual recurring old costs,Finance & Benefits,E34,
16-17 RDEL Actual Total ,Finance & Benefits,F34,
Pre 17-18 RDEL BL one off new costs,Finance & Benefits,C35,
Pre 17-18 RDEL BL recurring new costs,Finance & Benefits,D35,
Pre 17-18 RDEL BL recurring old costs,Finance & Benefits,E35,
Pre 17-18 RDEL BL Total ,Finance & Benefits,F35,
Pre 17-18 RDEL Actual one off new costs,Finance & Benefits,C36,
Pre 17-18 RDEL Actual recurring new costs,Finance & Benefits,D36,
Pre 17-18 RDEL Actual recurring old costs,Finance & Benefits,E36,
Pre 17-18 RDEL Actual Total ,Finance & Benefits,F36,
RDEL one off new cost spend 17-18  on profile ,Finance & Benefits,C37,
RDEL recurring new cost spend 17-18 on profile ,Finance & Benefits,D37,
RDEL recurring old cost spend 17-18 on profile ,Finance & Benefits,E37,
RDEL total spend 17-18 on profile ,Finance & Benefits,F37,
17-18 RDEL BL one off new costs,Finance & Benefits,C38,
17-18 RDEL BL recurring new costs,Finance & Benefits,D38,
17-18 RDEL BL recurring old costs,Finance & Benefits,E38,
17-18 RDEL BL Total ,Finance & Benefits,F38,
17-18 RDEL Forecast one off new costs,Finance & Benefits,C39,
17-18 RDEL Forecast recurring new costs,Finance & Benefits,D39,
17-18 RDEL Forecast recurring old costs,Finance & Benefits,E39,
17-18 RDEL Forecast Total ,Finance & Benefits,F39,
Pre 18-19 RDEL BL one off new costs,Finance & Benefits,C40,
Pre 18-19 RDEL BL recurring new costs,Finance & Benefits,D40,
Pre 18-19 RDEL BL recurring old costs,Finance & Benefits,E40,
Pre 18-19 RDEL BL Total ,Finance & Benefits,F40,
Pre 18-19 RDEL Forecast one off new costs,Finance & Benefits,C41,
Pre 18-19 RDEL Forecast recurring new costs,Finance & Benefits,D41,
Pre 18-19 RDEL Forecast recurring old costs,Finance & Benefits,E41,
Pre 18-19 RDEL Forecast Total ,Finance & Benefits,F41,
18-19 RDEL BL one off new costs,Finance & Benefits,C42,
18-19 RDEL BL recurring new costs,Finance & Benefits,D42,
18-19 RDEL BL recurring old costs,Finance & Benefits,E42,
18-19 RDEL BL Total ,Finance & Benefits,F42,
18-19 RDEL Forecast one off new costs,Finance & Benefits,C43,
18-19 RDEL Forecast recurring new costs,Finance & Benefits,D43,
18-19 RDEL Forecast recurring old costs,Finance & Benefits,E43,
18-19 RDEL Forecast Total ,Finance & Benefits,F43,
Pre 19-20 RDEL BL one off new costs,Finance & Benefits,C44,
Pre 19-20 RDEL BL recurring new costs,Finance & Benefits,D44,
Pre 19-20 RDEL BL recurring old costs,Finance & Benefits,E44,
Pre 19-20 RDEL BL Total ,Finance & Benefits,F44,
Pre 19-20 RDEL Forecast one off new costs,Finance & Benefits,C45,
Pre 19-20 RDEL Forecast recurring new costs,Finance & Benefits,D45,
Pre 19-20 RDEL Forecast recurring old costs,Finance & Benefits,E45,
Pre 19-20 RDEL Forecast Total ,Finance & Benefits,F45,
19-20 RDEL BL one off new costs,Finance & Benefits,C46,
19-20 RDEL BL recurring new costs,Finance & Benefits,D46,
19-20 RDEL BL recurring old costs,Finance & Benefits,E46,
19-20 RDEL BL Total ,Finance & Benefits,F46,
19-20 RDEL Forecast one off new costs,Finance & Benefits,C47,
19-20 RDEL Forecast recurring new costs,Finance & Benefits,D47,
19-20 RDEL Forecast recurring old costs,Finance & Benefits,E47,
19-20 RDEL Forecast Total ,Finance & Benefits,F47,
Pre 20-21 RDEL BL one off new costs,Finance & Benefits,C48,
Pre 20-21 RDEL BL recurring new costs,Finance & Benefits,D48,
Pre 20-21 RDEL BL recurring old costs,Finance & Benefits,E48,
Pre 20-21 RDEL BL Total ,Finance & Benefits,F48,
Pre 20-21 RDEL Forecast one off new costs,Finance & Benefits,C49,
Pre 20-21 RDEL Forecast recurring new costs,Finance & Benefits,D49,
Pre 20-21 RDEL Forecast recurring old costs,Finance & Benefits,E49,
Pre 20-21 RDEL Forecast Total ,Finance & Benefits,F49,
20-21 RDEL BL one off new costs,Finance & Benefits,C50,
20-21 RDEL BL recurring new costs,Finance & Benefits,D50,
20-21 RDEL BL recurring old costs,Finance & Benefits,E50,
20-21 RDEL BL Total ,Finance & Benefits,F50,
20-21 RDEL Forecast one off new costs,Finance & Benefits,C51,
20-21 RDEL Forecast recurring new costs,Finance & Benefits,D51,
20-21 RDEL Forecast recurring old costs,Finance & Benefits,E51,
20-21 RDEL Forecast Total ,Finance & Benefits,F51,
Pre 21-22 RDEL BL one off new costs,Finance & Benefits,C52,
Pre 21-22 RDEL BL recurring new costs,Finance & Benefits,D52,
Pre 21-22 RDEL BL recurring old costs,Finance & Benefits,E52,
Pre 21-22 RDEL BL Total ,Finance & Benefits,F52,
Pre 21-22 RDEL Forecast one off new costs,Finance & Benefits,C53,
Pre 21-22 RDEL Forecast recurring new costs,Finance & Benefits,D53,
Pre 21-22 RDEL Forecast recurring old costs,Finance & Benefits,E53,
Pre 21-22 RDEL Forecast Total ,Finance & Benefits,F53,
21-22 RDEL BL one off new costs,Finance & Benefits,C54,
21-22 RDEL BL recurring new costs,Finance & Benefits,D54,
21-22 RDEL BL recurring old costs,Finance & Benefits,E54,
21-22 RDEL BL Total ,Finance & Benefits,F54,
21-22 RDEL Forecast one off new costs,Finance & Benefits,C55,
21-22 RDEL Forecast recurring new costs,Finance & Benefits,D55,
21-22 RDEL Forecast recurring old costs,Finance & Benefits,E55,
21-22 RDEL Forecast Total ,Finance & Benefits,F55,
Pre 22-23 RDEL BL one off new costs,Finance & Benefits,C56,
Pre 22-23 RDEL BL recurring new costs,Finance & Benefits,D56,
Pre 22-23 RDEL BL recurring old costs,Finance & Benefits,E56,
Pre 22-23 RDEL BL Total ,Finance & Benefits,F56,
Pre 22-23 RDEL Forecast one off new costs,Finance & Benefits,C57,
Pre 22-23 RDEL Forecast recurring new costs,Finance & Benefits,D57,
Pre 22-23 RDEL Forecast recurring old costs,Finance & Benefits,E57,
Pre 22-23 RDEL Forecast Total ,Finance & Benefits,F57,
22-23 RDEL BL one off new costs,Finance & Benefits,C58,
22-23 RDEL BL recurring new costs,Finance & Benefits,D58,
22-23 RDEL BL recurring old costs,Finance & Benefits,E58,
22-23 RDEL BL Total ,Finance & Benefits,F58,
22-23 RDEL Forecast one off new costs,Finance & Benefits,C59,
22-23 RDEL Forecast recurring new costs,Finance & Benefits,D59,
22-23 RDEL Forecast recurring old costs,Finance & Benefits,E59,
22-23 RDEL Forecast Total ,Finance & Benefits,F59,
23-24 RDEL BL one off new costs,Finance & Benefits,C60,
23-24 RDEL BL recurring new costs,Finance & Benefits,D60,
23-24 RDEL BL recurring old costs,Finance & Benefits,E60,
23-24 RDEL BL Total ,Finance & Benefits,F60,
23-24 RDEL Forecast one off new costs,Finance & Benefits,C61,
23-24 RDEL Forecast recurring new costs,Finance & Benefits,D61,
23-24 RDEL Forecast recurring old costs,Finance & Benefits,E61,
23-24 RDEL Forecast Total ,Finance & Benefits,F61,
24-25 RDEL BL one off new costs,Finance & Benefits,C62,
24-25 RDEL BL recurring new costs,Finance & Benefits,D62,
24-25 RDEL BL recurring old costs,Finance & Benefits,E62,
24-25 RDEL BL Total ,Finance & Benefits,F62,
24-25 RDEL Forecast one off new costs,Finance & Benefits,C63,
24-25 RDEL Forecast recurring new costs,Finance & Benefits,D63,
24-25 RDEL Forecast recurring old costs,Finance & Benefits,E63,
24-25 RDEL Forecast Total ,Finance & Benefits,F63,
25-26 RDEL BL one off new costs,Finance & Benefits,C64,
25-26 RDEL BL recurring new costs,Finance & Benefits,D64,
25-26 RDEL BL recurring old costs,Finance & Benefits,E64,
25-26 RDEL BL Total ,Finance & Benefits,F64,
25-26 RDEL Forecast one off new costs,Finance & Benefits,C65,
25-26 RDEL Forecast recurring new costs,Finance & Benefits,D65,
25-26 RDEL Forecast recurring old costs,Finance & Benefits,E65,
25-26 RDEL Forecast Total ,Finance & Benefits,F65,
26-27 RDEL BL one off new costs,Finance & Benefits,C66,
26-27 RDEL BL recurring new costs,Finance & Benefits,D66,
26-27 RDEL BL recurring old costs,Finance & Benefits,E66,
26-27 RDEL BL Total ,Finance & Benefits,F66,
26-27 RDEL Forecast one off new costs,Finance & Benefits,C67,
26-27 RDEL Forecast recurring new costs,Finance & Benefits,D67,
26-27 RDEL Forecast recurring old costs,Finance & Benefits,E67,
26-27 RDEL Forecast Total ,Finance & Benefits,F67,
27-28 RDEL BL one off new costs,Finance & Benefits,C68,
27-28 RDEL BL recurring new costs,Finance & Benefits,D68,
27-28 RDEL BL recurring old costs,Finance & Benefits,E68,
27-28 RDEL BL Total ,Finance & Benefits,F68,
27-28 RDEL Forecast one off new costs,Finance & Benefits,C69,
27-28 RDEL Forecast recurring new costs,Finance & Benefits,D69,
27-28 RDEL Forecast recurring old costs,Finance & Benefits,E69,
27-28 RDEL Forecast Total ,Finance & Benefits,F69,
Unprofiled RDEL BL one off new costs,Finance & Benefits,C70,
Unprofiled RDEL BL recurring new costs,Finance & Benefits,D70,
Unprofiled RDEL BL recurring old costs,Finance & Benefits,E70,
Unprofiled RDEL BL Total ,Finance & Benefits,F70,
